country,total,recorded,unrecorded,beer,wine,spirits,other,2015projection
Greece,10.3,8.3,2,28.1,47.3,24.2,0.4,9.3
Kazakhstan,10.3,6.8,3.5,31.8,3.1,65.1,0,8.2
Canada,10.2,8.2,2,51.2,22,26.8,0,10.3
Nigeria,10.1,9.1,1,8,0.4,0.9,90.7,11.3
Netherlands,9.9,9.4,0.5,46.8,36.4,16.9,0,9.6
Uganda,9.8,8.3,1.5,9.4,0.1,1.9,88.6,10.5
Rwanda,9.8,6.8,3,11.1,0,0.4,88.4,10
Chile,9.6,7.6,2,29.9,40.7,29.4,0,9.3
Argentina,9.3,8.3,1,40.7,48,5.5,5.8,7.6
Burundi,9.3,6.3,3,24.5,0,0.1,75.4,9.8
UnitedStates,9.2,8.7,0.5,50,17.3,32.7,0,9
Cyprus,9.2,8.2,1,40.9,24.7,33.7,0.7,9.1
Sweden,9.2,7.2,2,37,46.6,15.1,1.4,8.7
Venezuela,8.9,7.7,1.3,75.6,0.8,23.4,0.2,8.3
Paraguay,8.8,7.3,1.5,51.1,18.2,28.8,2,9.6
Brazil,8.7,7.2,1.5,59.6,4,36.3,0.1,9.1
SierraLeone,8.7,6.7,2,6.4,0.5,0.7,92.3,8.2
Montenegro,8.7,4.9,3.9,10.9,47,41.7,0.4,13.3
Belize,8.5,6.8,1.7,67.6,2,30.3,0.1,8.3
Cameroon,8.4,5.8,2.6,63.9,22.1,13.8,0.2,7.7
Botswana,8.4,5.4,3,56,11.8,11.5,20.7,7.7
SaintKittsandNevis,8.2,7.7,0.5,44,7.4,48,0.6,7
Guyana,8.1,7.1,1,23,0.3,76.6,0.1,8.6
Peru,8.1,6.1,2,46.8,6.1,47.1,0,5.2
Panama,8,7.2,0.8,69.2,4.6,26,0.2,7.7
Niue,8,7,1,47,1.7,51.3,0,7.7
Palau,7.9,6.9,1,77.7,5.9,16.4,0,
Norway,7.7,6.7,1,44.2,34.7,19,2.1,7
Tanzania,7.7,5.7,2,11,0.2,1.8,87,8.1
Georgia,7.7,5.4,2.3,17,49.8,33.2,0.1,6.7
Uruguay,7.6,6.6,1,30.6,59.9,9.5,0,7
Angola,7.5,5.9,1.6,64.3,13.7,17.4,4.7,7.6
Laos,7.3,6.2,1.1,35.6,0,64.4,0,7.5
Japan,7.2,7,0.2,19.2,4.1,52,24.7,7.5
Mexico,7.2,5.5,1.8,75.7,1.5,22.2,0.5,6.8
Ecuador,7.2,4.2,3,67.3,1.2,31.5,0,6.1
Dominica,7.1,6.6,0.5,13.7,7.1,77.9,1.2,6.6
Iceland,7.1,6.6,0.5,61.8,21.2,16.5,0.5,6.9
Thailand,7.1,6.4,0.7,27,0.4,72.6,0,8.3
BosniaandHerzegovina,7.1,4.6,2.5,73.3,9.7,17,0,7.5
SãoToméandPríncipe,7.1,4.2,2.9,23.5,60.2,16.3,0,6.8
Malta,7,6.6,0.4,39.4,32.7,27.2,0.7,7.2
Albania,7,4.9,2.1,31.8,19.8,48.4,0,6.6
Bahamas,6.9,6.3,0.5,34,14.6,50.4,1,4.2
DominicanRepublic,6.9,6.2,0.7,54.5,2.7,42.7,0.1,7.6
Mongolia,6.9,4.9,2,27.6,2.8,69.6,0,7.8
CapeVerde,6.9,4,2.9,44.4,1.2,0.2,54.2,7.2
Barbados,6.8,6.3,0.5,39.7,10.2,49.3,0.8,6.5
BurkinaFaso,6.8,4.3,2.5,10,3,3.1,83.8,7.4
Italy,6.7,6.5,0.2,23,65.6,11.5,0,6.1
TrinidadandTobago,6.7,6.4,0.3,54,2,43.8,0.3,6.6
China,6.7,5,1.7,27.8,3,69.2,0,7.6
Macedonia,6.7,3.9,2.8,47.4,39.9,12.6,0,5.7
SaintVincentandtheGrenadines,6.6,6.3,0.3,33.4,3,63.1,0.5,7.2
EquatorialGuinea,6.6,5.8,0.8,27.8,72.2,0,0,8.1
Suriname,6.6,5.6,1,40,2.3,57.2,0.5,6.5
Vietnam,6.6,2,4.6,97.3,0.6,2.1,0,8.7
Lesotho,6.5,2.8,3.7,51.3,0.2,18.9,29.6,6.4
Haiti,6.4,5.9,0.6,0.2,0.2,99.6,0,5.9
CookIslands,6.4,5.9,0.5,0,22.6,77.4,0,4.8
Colombia,6.2,4.2,2,66.1,1.1,32.5,0.3,6.6
IvoryCoast,6,4,2,16.1,3,0.4,80.5,6.5
Bolivia,5.9,3.8,2.1,76.8,3.8,19.3,0.1,5.8
Swaziland,5.7,4.7,1,33.6,0.8,0.7,65,6.4
Zimbabwe,5.7,4.7,1,23.7,1.7,6.8,67.7,4.8
Seychelles,5.6,4.1,1.5,67,22.2,10.8,0,6.7
Cambodia,5.5,2.2,3.3,45.7,0.8,53.5,0,6.1
PuertoRico,5.4,4.9,0.5,66.6,6.7,26.4,0.3,-
NetherlandsAntilles,5.4,4.9,0.4,36.4,16.4,47,0.3,3.2
Philippines,5.4,4.6,0.9,26.9,0.3,72.7,0,5.6
CostaRica,5.4,4.4,1,59.3,4.7,35.5,0.5,5.1
Armenia,5.3,3.8,1.5,9.7,5.3,84.9,0,5.5
Cuba,5.2,4.2,1,38.8,2.2,58.9,0,5.5
Nicaragua,5,3.5,1.5,38.8,0.5,60.6,0,4.6
Jamaica,4.9,3.4,1.5,42,4.9,51.4,1.6,5.1
Ghana,4.8,1.8,3,30,9.7,2.9,57.3,5.4
Liberia,4.7,3.1,1.6,10.8,1,88.1,0,5.2
Uzbekistan,4.6,2.4,2.1,18.3,6.3,75.4,0,4.8
Chad,4.4,0.4,4,66.3,3.4,3.8,26.5,4.4
UnitedArabEmirates,4.3,2.8,1.5,10.3,2.9,86.7,0,4.3
Kyrgyzstan,4.3,2.4,1.9,22.6,4.2,72.9,0.3,3.9
India,4.3,2.2,2.2,6.8,0.1,93.1,0,4.6
Turkmenistan,4.3,2.2,2.2,15.4,26.1,58.4,0,5
Kenya,4.3,1.8,2.5,56.1,1.8,21.6,20.4,4
Ethiopia,4.2,0.7,3.5,49.7,0.6,8.2,41.4,4.3
Honduras,4,3,1,40.1,1.1,58.7,0,4
Guinea-Bissau,4,2.5,1.5,19.6,14.9,22.4,43,4.3
Zambia,4,2.5,1.5,22.7,2.9,13.6,60.7,4
RepublicoftheCongo,3.9,1.7,2.2,78.4,9.8,10.9,0.8,3.9
Guatemala,3.8,2.2,1.6,41.9,1.6,56.3,0.2,3.9
CentralAfricanRepublic,3.8,1.8,2,16.2,0.6,2.1,81.1,3.8
NorthKorea,3.7,3.2,0.5,5.1,0,94.9,0,4.4
SriLanka,3.7,2.2,1.5,13,0.1,85.2,1.7,4.5
Mauritius,3.6,2.6,1,66.2,12.3,21.3,0.2,4
Samoa,3.6,2.6,1,70.9,16.6,12.5,0,
DemocraticRepublicoftheCongo,3.6,2.3,1.3,24,0.7,2,73.3,3.4
Nauru,3.5,1,2.5,85.4,14.6,0,0,3
Gambia,3.4,2.4,1,5.6,0.7,0.3,93.5,3.2
FederatedStatesofMicronesia,3.3,2.3,1,47,14.1,38.9,0,3.5
ElSalvador,3.2,2.2,1,41.7,1.7,56.6,0,3.5
Fiji,3,2,1,67.7,0.9,31.1,0.2,3.2
PapuaNewGuinea,3,1.5,1.5,51.3,0.9,47.7,0,3.1
Kiribati,3,1,2,36.9,2.2,60.9,0,2.9
Tajikistan,2.8,0.3,2.5,10.2,1.1,88.7,0,2.4
Israel,2.8,0.3,2.5,44,6.2,49.5,0.3,3.1
Sudan,2.7,1.7,1,8,0,13.5,78.5,2.7
Malawi,2.5,1.5,1,9.1,1.2,13.4,76.2,2.5
Lebanon,2.4,1.9,0.5,18.2,29.1,52.4,0.3,2.2
Azerbaijan,2.3,1.3,1,28.7,7.6,63.3,0,2.1
Mozambique,2.3,1.3,1,63,7.3,25.4,4.3,2
Togo,2.3,1.3,1,48.9,26.9,2.4,21.8,1.9
Nepal,2.2,0.2,2,47.7,0.9,51.4,0,2.1
Bahrain,2.1,2,0.1,36.6,6.3,57,0.1,2.4
Benin,2.1,1.1,1,54.6,21.7,7.2,16.5,2.2
Singapore,2,1.5,0.5,70.1,13.5,14.7,1.7,2.9
Turkey,2,1.4,0.6,63.6,8.6,27.9,0,2.4
Madagascar,1.8,0.8,1,56,9.5,34.5,0,1.9
SolomonIslands,1.7,1.2,0.5,81.1,2.1,16.7,0,1.6
Tonga,1.6,1.1,0.5,57.9,7.6,34.3,0.1,2.1
Tunisia,1.5,1.3,0.2,68.6,27.7,3.7,0,1.2
Tuvalu,1.5,1,0.5,10,15.5,74.5,0,1.3
Qatar,1.5,0.9,0.6,1.2,13.9,84.6,0.3,1.3
Vanuatu,1.4,0.9,0.5,40.5,22.8,36.7,0,1.2
Djibouti,1.3,1.1,0.2,23.2,5.3,71.5,0,0.9
Malaysia,1.3,0.3,1,76.2,2,21.8,0.1,1.7
Syria,1.2,1,0.3,8.5,27.9,63.5,0,1.4
Maldives,1.2,0.7,0.5,29.1,29.4,41.2,0,1
Mali,1.1,0.6,0.5,13.3,1.5,2.1,83.1,1
Eritrea,1.1,0.5,0.6,63.6,0,0.1,36.3,1.4
Algeria,1,0.7,0.3,62.6,35.5,0,2,0.6
Iran,1,0,1,24.8,52.1,1,1,
Oman,0.9,0.7,0.2,54.6,3.3,42.2,0,0.9
Brunei,0.9,0.6,0.3,89.8,2.3,7.2,0.7,0.8
Morocco,0.9,0.5,0.5,43.5,36.5,19.9,0,0.7
Jordan,0.7,0.5,0.2,22.4,2.1,75.4,0.1,0.7
Bhutan,0.7,0.4,0.3,100,0,0,0,1.1
Guinea,0.7,0.2,0.5,78.9,16.3,3.7,1.1,0.7
Myanmar,0.7,0.1,0.6,82.6,5.7,11.8,0,0.7
Afghanistan,0.7,0,0.7,18.9,38.3,1,1.2,
Senegal,0.6,0.3,0.3,55.1,41.3,3.6,0,0.5
Indonesia,0.6,0.1,0.5,84.5,0.1,15.3,0,0.6
Timor-Leste,0.6,0.1,0.5,9.3,75.9,14.8,0,1.2
Iraq,0.5,0.2,0.3,76.1,1,22.9,0,0.5
Somalia,0.5,0,0.5,9.2,19.2,0.5,0.5,
Egypt,0.4,0.2,0.2,53.8,5.4,40.3,0.5,0.3
Niger,0.3,0.1,0.2,46,13.2,40.7,0,0.3
Yemen,0.3,0.1,0.2,100,0,0,0,0.2
Comoros,0.2,0.1,0.1,23.3,22.2,54.6,0,0.2
SaudiArabia,0.2,0.1,0.1,0,1.9,97.9,0.2,0.2
Bangladesh,0.2,0,0.2,9,17.6,0.2,0.2,
Kuwait,0.1,0,0.1,58.1,10.8,30.7,0.4,0.1
Libya,0.1,0,0.1,2.5,5,0,0,
Mauritania,0.1,0,0.1,,,,,0.1
Pakistan,0.1,0,0,1.2,3,0.1,0.1,

