都道府県,"
刑法犯認知件数",刑法犯検挙件数,刑法犯検挙人員,凶悪犯認知件数,凶悪犯検挙件数,凶悪犯検挙人員,粗暴犯認知件数,粗暴犯検挙件数,粗暴犯検挙人員,窃盗犯認知件数,窃盗犯検挙件数,窃盗犯検挙人員,知能犯認知件数,知能犯検挙件数,知能犯検挙人員,風俗犯認知件数,風俗犯検挙件数,風俗犯検挙人員,その他の刑法犯認知件数,その他の刑法犯検挙件数,その他の刑法犯検挙人員
滋賀,"11,308","4,446","2,286",50,48,33,487,399,396,"8,204","3,317","1,422",579,211,97,114,56,39,"1,874",415,299
京都,"24,068","6,382","4,767",100,76,83,"1,220",963,"1,007","17,724","3,635","2,290",777,358,267,237,183,103,"4,010","1,167","1,017"
大阪,"132,471","23,853","18,563",854,538,486,"5,691","3,459","3,634","104,125","12,790","8,300","4,374","1,332",870,"1,447",743,796,"15,980","4,991","4,477"
兵庫,"59,374","16,039","12,193",287,215,205,"3,981","3,110","3,237","42,183","9,252","5,867","2,019",803,604,550,335,300,"10,354","2,324","1,980"
奈良,"10,036","4,359","2,308",36,31,24,498,453,449,"6,959","2,953","1,359",682,502,186,133,63,47,"1,728",357,243
和歌山,"7,539","3,555","2,218",29,29,24,637,579,648,"5,141","2,375","1,137",219,154,107,88,49,42,"1,425",369,260
鳥取,"3,388","1,785","1,030",23,23,18,122,108,103,"2,631","1,344",703,110,86,47,34,31,14,468,193,145
島根,"3,342","1,905",935,12,10,9,121,106,109,"2,440","1,404",588,176,155,80,48,46,25,545,184,124
岡山,"14,706","5,612","3,780",66,68,59,"1,092",908,860,"10,564","3,457","1,951",598,265,164,105,90,131,"2,281",824,615
広島,"18,777","7,391","5,631",117,113,104,"1,298","1,107","1,113","12,576","4,420","3,038","1,028",515,311,213,149,126,"3,545","1,087",939
山口,"7,701","3,621","2,359",43,45,45,537,434,430,"4,960","2,243","1,344",447,372,132,64,65,75,"1,650",462,333
徳島,"4,543","2,374","1,168",24,24,26,215,172,201,"3,115","1,743",732,243,166,64,65,30,19,881,239,126
香川,"7,212","3,242","2,117",44,45,43,438,427,446,"5,017","2,116","1,237",366,220,113,89,78,48,"1,258",356,230
愛媛,"11,407","4,835","2,786",53,57,48,602,576,624,"8,546","3,722","1,743",383,129,101,86,49,40,"1,737",302,230
高知,"5,664","1,930","1,166",27,17,22,223,187,179,"4,355","1,395",717,174,103,65,26,20,15,859,208,168
福岡,"54,663","19,372","10,992",305,279,230,"2,886","2,171","2,303","40,470","13,104","5,562","1,913",614,363,809,481,313,"8,280","2,723","2,221"
佐賀,"5,422","3,463","1,639",32,29,23,335,306,312,"3,938","2,712",996,268,150,108,44,42,33,805,224,167
長崎,"4,965","2,914","2,072",20,18,12,442,403,438,"3,305","2,024","1,298",347,167,115,62,40,30,789,262,179
熊本,"10,274","4,704","3,340",53,52,52,873,749,815,"7,487","3,109","1,950",387,213,132,109,90,75,"1,365",491,316
大分,"4,843","2,153","1,628",20,22,19,273,232,244,"3,582","1,438",976,238,191,167,43,42,34,687,228,188
宮崎,"6,632","2,490","1,828",15,18,18,469,392,417,"5,033","1,589","1,053",245,188,114,85,47,20,785,256,206
鹿児島,"7,756","2,955","2,426",42,35,35,520,470,498,"5,879","2,036","1,524",226,109,101,78,55,61,"1,011",250,207
沖縄,"9,463","4,205","3,295",75,68,61,784,666,678,"6,936","2,585","1,870",517,384,210,106,95,122,"1,045",407,354
