しこ名履歴,体重,出身地,名前,名前読み,得意技,所属部屋,最高番付,本名,生年月日,番付,身長
笹ノ山 → 大成道,136.0kg,青森県八戸市,大成道 喜悌,(だいせいどう よしとも),突き・押し,木瀬,,笹山 喜悌,平成4年12月30日,十両十二枚目,177.0cm
白鵬,157.0kg,モンゴル・ウランバートル,白鵬 翔,(はくほう しょう),右四つ・寄り,宮城野,,ムンフバト・ダヴァジャルガル,昭和60年3月11日,横綱,192.0cm
澤井 → 豪栄道,161.0kg,大阪府寝屋川市,豪栄道 豪太郎,(ごうえいどう ごうたろう),右四つ・寄り,境川,,澤井 豪太郎,昭和61年4月6日,大関,183.0cm
坂元 → 大奄美,186.0kg,鹿児島県大島郡龍郷町,大奄美 元規,(だいあまみ げんき),右四つ・寄り,追手風,,坂元 元規,平成4年12月15日,前頭十四枚目,185.0cm
佐藤 → 貴景勝,168.0kg,兵庫県芦屋市,貴景勝 光信,(たかけいしょう みつのぶ),突き・押し,貴乃花,,佐藤 貴信,平成8年8月5日,前頭筆頭,175.0cm
栃ノ心,173.0kg,ジョージア・ムツケタ,栃ノ心 剛史,(とちのしん つよし),右四つ・上手投げ,春日野,,レヴァニ・ゴルガゼ,昭和62年10月13日,前頭六枚目,191.0cm
安馬 → 日馬富士,137.0kg,モンゴル・ゴビアルタイ,日馬富士 公平,(はるまふじ こうへい),右四つ・寄り,伊勢ヶ濱,第70代横綱,ダワーニャム・ビャンバドルジ,昭和59年4月14日,,186.0cm
貴源治,160.0kg,栃木県小山市,貴源治 賢,(たかげんじ さとし),突き・押し,貴乃花,,上山 賢,平成9年5月13日,十両十四枚目,191.0cm
福岡 → 隠岐の海 → 福岡 → 隠岐の海,165.0kg,島根県隠岐郡隠岐の島町,隠岐の海 歩,(おきのうみ あゆみ),右四つ・寄り,八角,,福岡 歩,昭和60年7月29日,前頭十二枚目,188.0cm
東龍,156.0kg,モンゴル・ゴビアルタイ,東龍 強,(あずまりゅう つよし),右四つ・寄り,玉ノ井,,サンドゥイジャブ・トドビレグ,昭和62年5月12日,十両四枚目,190.0cm
松谷 → 松鳳山,140.0kg,福岡県築上郡築上町,松鳳山 裕也,(しょうほうざん ゆうや),突き・押し,二所ノ関,,松谷 裕也,昭和59年2月9日,前頭三枚目,178.0cm
澤田 → 千代の国,143.0kg,三重県伊賀市,千代の国 憲輝,(ちよのくに としき),突き・押し・右四つ・寄り,九重,,澤田 憲輝,平成2年7月10日,前頭四枚目,183.0cm
大串 → 旭大星,145.0kg,北海道旭川市,旭大星 託也,(きょくたいせい たくや),両前ミツ・出し投げ,友綱,,大串 拓也,平成元年10月18日,十両六枚目,184.0cm
東口 → 勢,172.0kg,大阪府交野市,勢 翔太,(いきおい しょうた),右四つ・寄り,伊勢ノ海,,東口 翔太,昭和61年10月11日,前頭十枚目,193.0cm
松村 → 佐田の海,145.0kg,熊本県熊本市東区,佐田の海 貴士,(さだのうみ たかし),右四つ・寄り,境川,,松村 要,昭和62年5月11日,十両五枚目,182.0cm
小柳 → 豊山,179.0kg,新潟県新潟市北区,豊山 亮太,(ゆたかやま りょうた),突き・押し,時津風,,小柳 亮太,平成5年9月22日,十両三枚目,184.0cm
琴柏谷 → 琴恵光,134.0kg,宮崎県延岡市,琴恵光 充憲,(ことえこう みつのり),右四つ・寄り・押し,佐渡ヶ嶽,,柏谷 充隆,平成3年11月20日,十両七枚目,176.0cm
舛ノ勝 → 舛の勝 → 隆の勝,150.0kg,千葉県柏市,隆の勝 伸明,(たかのしょう のぶあき),押し,千賀ノ浦,,石井 伸明,平成6年11月14日,十両十三枚目,183.0cm
鶴竜,158.0kg,モンゴル・スフバートル,鶴竜 力三郎,(かくりゅう りきさぶろう),右四つ・下手投げ,井筒,,マンガラジャラブ・アナンダ,昭和60年8月10日,横綱,186.0cm
安彦 → 剣翔,171.0kg,東京都葛飾区,剣翔 桃太郎,(つるぎしょう ももたろう),右四つ・寄り,追手風,,安彦 剣太郎,平成3年7月27日,十両八枚目,184.0cm
そう國来 → 蒼国来,140.0kg,中国内蒙古自治区,蒼国来 栄吉,(そうこくらい えいきち),右四つ・寄り・投げ,荒汐,,恩和とう布新,昭和59年1月9日,十両七枚目,185.0cm
石浦,120.0kg,鳥取県鳥取市,石浦 将勝,(いしうら まさかつ),右四つ・下手投げ,宮城野,,石浦 将勝,平成2年1月10日,十両筆頭,173.0cm
山口 → 大喜鵬 → 山口,158.0kg,福岡県飯塚市,山口 雅弘,(やまぐち まさひろ),突き・押し,宮城野,,山口 雅弘,平成元年5月13日,十両十枚目,181.0cm
碧山,197.0kg,ブルガリア・ヤンボル,碧山 亘右,(あおいやま こうすけ),右四つ・寄り,春日野,,ダニエル・イヴァノフ,昭和61年6月19日,前頭十一枚目,191.0cm
御嶽海,161.0kg,長野県木曽郡上松町,御嶽海 久司,(みたけうみ ひさし),突き・押し,出羽海,,大道 久司,平成4年12月25日,関脇,179.0cm
木下 → 千代丸,191.0kg,鹿児島県志布志市,千代丸 一樹,(ちよまる かずき),押し,九重,,木下 一樹,平成3年4月17日,前頭八枚目,179.0cm
宮本 → 妙義龍,149.0kg,兵庫県高砂市,妙義龍 泰成,(みょうぎりゅう やすなり),押し,境川,,宮本 泰成,昭和61年10月22日,前頭十五枚目,186.0cm
門元 → 豊響,181.0kg,山口県下関市,豊響 隆太,(とよひびき りゅうた),突き・押し,境川,,門元 隆太,昭和59年11月16日,十両十一枚目,185.0cm
宝富士,171.0kg,青森県北津軽郡中泊町,宝富士 大輔,(たからふじ だいすけ),左四つ・寄り,伊勢ヶ濱,,杉山 大輔,昭和62年2月18日,前頭五枚目,185.0cm
大木下 → 千代鳳,181.0kg,鹿児島県志布志市,千代鳳 祐樹,(ちよおおとり ゆうき),突き・押し,九重,,木下 祐樹,平成4年10月11日,十両十一枚目,178.0cm
川端 → 大翔丸,156.0kg,大阪府大阪市平野区,大翔丸 翔伍,(だいしょうまる しょうご),突き・押し,追手風,,川端 翔伍,平成3年7月10日,前頭七枚目,174.0cm
貴ノ岩,150.0kg,モンゴル・ウランバートル,貴ノ岩 義司,(たかのいわ よしもり),右四つ・寄り・投げ,貴乃花,,アディヤ・バーサンドルジ,平成2年2月26日,前頭八枚目,182.0cm
宇良,135.0kg,大阪府寝屋川市,宇良 和輝,(うら かずき),足取り・居反り,木瀬,,宇良 和輝,平成4年6月22日,前頭十六枚目,172.0cm
岩崎 → 英乃海,160.0kg,東京都江戸川区,英乃海 拓也,(ひでのうみ たくや),右四つ・寄り,木瀬,,岩崎 拓也,平成元年6月11日,十両十枚目,185.0cm
矢後,176.0kg,北海道河西郡芽室町,矢後 太規,(やご たかのり),左四つ・寄り,尾車,,矢後 太規,平成6年7月8日,十両十四枚目,186.0cm
明生,146.0kg,鹿児島県大島郡瀬戸内町,明生 力,(めいせい ちから),左四つ・寄り,立浪,,川畑 明生,平成7年7月24日,十両四枚目,178.0cm
魁聖,192.0kg,ブラジル・サンパウロ,魁聖 一郎,(かいせい いちろう),右四つ・寄り・押し,友綱,,菅野 リカルド,昭和61年12月18日,前頭十枚目,195.0cm
高安,182.0kg,茨城県土浦市,高安 晃,(たかやす あきら),突き・押し,田子ノ浦,,高安 晃,平成2年2月28日,大関,185.0cm
影山 → 栃煌山,152.0kg,高知県安芸市,栃煌山 雄一郎,(とちおうざん ゆういちろう),右四つ・寄り,春日野,,影山 雄一郎,昭和62年3月9日,前頭二枚目,187.0cm
翔馬 → 千代翔馬,136.0kg,モンゴル・ウランバートル,千代翔馬 富士雄,(ちよしょうま ふじお),押し・左四つ・寄り,九重,,ガンバータル・ムンクサイハン,平成3年7月20日,前頭六枚目,184.0cm
正代,162.0kg,熊本県宇土市,正代 直也,(しょうだい なおや),右四つ・寄り,時津風,,正代 直也,平成3年11月5日,前頭七枚目,184.0cm
遠藤,153.0kg,石川県鳳珠郡穴水町,遠藤 聖大,(えんどう しょうた),突っ張り・左四つ・寄り,追手風,,遠藤 聖大,平成2年10月19日,前頭九枚目,183.0cm
基 → 千代皇 → 千代ノ皇,151.0kg,鹿児島県大島郡与論町,千代ノ皇 王代仁,(ちよのおう みよひと),右四つ・寄り,九重,,基 王代仁,平成3年5月29日,十両九枚目,179.0cm
青木 → 徳勝龍,180.0kg,奈良県奈良市,徳勝龍 誠,(とくしょうりゅう まこと),突き・押し,木瀬,,青木 誠,昭和61年8月22日,十両三枚目,181.0cm
青狼,141.0kg,モンゴル・ボルガン,青狼 武士,(せいろう たけし),右四つ・寄り,錣山,,アムガー・ウヌボルド,昭和63年8月18日,十両八枚目,185.0cm
照強,115.0kg,兵庫県南あわじ市,照強 翔輝,(てるつよし しょうき),右前ミツ・投げ,伊勢ヶ濱,,福岡 翔輝,平成7年1月17日,十両九枚目,168.0cm
琴榎本 → 琴勇輝,174.0kg,香川県小豆郡小豆島町,琴勇輝 一巖,(ことゆうき かずよし),突き・押し,佐渡ヶ嶽,,榎本 勇起,平成3年4月2日,前頭十四枚目,176.0cm
杉野森 → 安美錦,142.0kg,青森県西津軽郡深浦町,安美錦 竜児,(あみにしき りゅうじ),右四つ・寄り,伊勢ヶ濱,,杉野森 竜児,昭和53年10月3日,前頭十三枚目,184.0cm
