チーム,背番号,氏名,生年月日,身長,体重,投,打
阪神,97,田面　巧二郎,1990.12.09,179,90,右,右
阪神,98,ドリス,1988.01.10,195,109,右,右
阪神,12,坂本　誠志郎,1993.11.10,176,79,右,右
阪神,39,長坂　拳弥,1994.04.28,173,78,右,右
阪神,44,梅野　隆太郎,1991.06.17,173,76,右,右
阪神,52,小豆畑　眞也,1988.07.22,181,78,右,右
阪神,57,岡﨑　太一,1983.06.20,180,84,右,右
阪神,59,小宮山　慎二,1985.11.26,178,83,右,右
阪神,94,原口　文仁,1992.03.03,182,88,右,右
阪神,0,上本　博紀,1986.07.04,173,65,右,右
阪神,0,大和,1987.11.05,177,69,右,左右
阪神,1,鳥谷　敬,1981.06.26,180,78,右,左
阪神,2,北條　史也,1994.07.29,177,75,右,右
阪神,3,大山　悠輔,1994.12.19,181,85,右,右
阪神,5,西岡　剛,1984.07.27,182,84,右,左右
阪神,29,キャンベル,1987.04.09,191,98,右,右
阪神,32,新井　良太,1983.08.16,188,99,右,右
阪神,33,糸原　健斗,1992.11.11,175,80,右,左
阪神,37,森越　祐人,1988.08.11,178,73,右,右
阪神,48,ロジャース,1988.03.13,185,117,右,右
阪神,49,今成　亮太,1987.10.06,178,80,右,左
阪神,55,陽川　尚将,1991.07.17,180,89,右,右
阪神,58,荒木　郁也,1988.04.25,183,69,右,左
阪神,62,植田　海,1996.04.19,175,70,右,左右
阪神,93,西田　直斗,1993.04.26,186,82,右,左
阪神,7,糸井　嘉男,1981.07.31,187,88,右,左
阪神,8,福留　孝介,1977.04.26,182,93,右,左
阪神,9,髙山　俊,1993.04.18,181,86,右,左
阪神,24,横田　慎太郎,1995.06.09,187,89,左,左
阪神,25,江越　大賀,1993.03.12,182,80,右,右
阪神,51,伊藤　隼太,1989.05.08,177,82,右,左
阪神,60,中谷　将大,1993.01.05,187,89,右,右
阪神,63,板山　祐太郎,1994.03.27,180,78,右,左
阪神,65,緒方　凌介,1990.08.25,176,70,右,左
阪神,68,俊介,1987.08.17,178,74,右,右
阪神,99,狩野　恵輔,1982.12.17,181,86,右,右
ヤクルト,11,由規,1989.12.05,179,80,右,左
ヤクルト,12,石山　泰稚,1988.09.01,182,75,右,右
ヤクルト,13,中尾　輝,1994.09.14,180,83,左,左
ヤクルト,14,秋吉　亮,1989.03.21,182,73,右,右
ヤクルト,16,原　樹理,1993.07.19,180,79,右,右
ヤクルト,17,成瀬　善久,1985.10.13,180,87,左,左
ヤクルト,18,寺島　成輝,1998.07.30,183,90,左,左
ヤクルト,19,石川　雅規,1980.01.22,167,73,左,左
ヤクルト,20,山本　哲哉,1985.09.04,179,77,右,右
ヤクルト,21,松岡　健一,1982.06.07,181,85,右,右
ヤクルト,22,竹下　真吾,1990.10.20,180,82,左,左
ヤクルト,24,星　知弥,1994.04.15,183,78,右,右
ヤクルト,25,館山　昌平,1981.03.17,181,98,右,右
ヤクルト,26,久古　健太郎,1986.05.16,181,82,左,左
ヤクルト,28,ブキャナン,1989.05.11,191,90,右,右
ヤクルト,29,小川　泰弘,1990.05.16,171,80,右,右
ヤクルト,32,風張　蓮,1993.02.26,182,88,右,右
ヤクルト,34,オーレンドルフ,1982.08.08,193,108,右,右
ヤクルト,35,菊沢　竜佑,1988.05.16,183,85,右,右
ヤクルト,38,梅野　雄吾,1999.01.13,175,84,右,右
ヤクルト,43,村中　恭兵,1987.10.25,188,88,左,左
ヤクルト,44,岩橋　慶侍,1991.04.23,185,84,左,左
ヤクルト,45,土肥　寛昌,1990.11.16,181,88,右,左右
ヤクルト,47,高橋　奎二,1997.05.14,178,73,左,左
ヤクルト,48,ジュリアス,1997.05.25,183,76,左,左
ヤクルト,53,ルーキ,1984.12.05,193,102,右,右
ヤクルト,54,中澤　雅人,1985.02.16,179,80,左,左
ヤクルト,58,屋宜　照悟,1989.03.29,178,84,右,左
ヤクルト,61,ギルメット,1987.07.27,188,90,右,右
ヤクルト,62,徳山　武陽,1989.07.21,185,84,右,左右
ヤクルト,67,平井　諒,1991.04.23,184,78,右,右
ヤクルト,68,山中　浩史,1985.09.09,175,82,右,右
ヤクルト,70,近藤　一樹,1983.07.08,183,80,右,右
ヤクルト,71,中島　彰吾,1992.06.15,178,80,右,右
ヤクルト,30,西田　明央,1992.04.28,178,83,右,右
ヤクルト,37,星野　雄大,1988.10.19,177,80,右,右
ヤクルト,51,藤井　亮太,1988.09.30,176,73,右,左
ヤクルト,52,中村　悠平,1990.06.17,176,83,右,右
ヤクルト,55,山川　晃司,1996.11.15,184,87,右,右
ヤクルト,57,古賀　優大,1998.08.07,177,74,右,右
ヤクルト,63,井野　卓,1983.11.23,178,83,右,右
ヤクルト,1,山田　哲人,1992.07.16,180,76,右,右
ヤクルト,2,大引　啓次,1984.06.29,178,84,右,右
ヤクルト,3,西浦　直亨,1991.04.11,178,75,右,右
ヤクルト,5,川端　慎吾,1987.10.16,185,86,右,左
ヤクルト,8,武内　晋一,1983.12.10,175,90,左,左
ヤクルト,10,荒木　貴裕,1987.07.26,180,84,右,右
ヤクルト,33,畠山　和洋,1982.09.13,180,96,右,右
ヤクルト,36,廣岡　大志,1997.04.09,183,81,右,右
ヤクルト,39,リベロ,1988.05.20,188,104,右,右
ヤクルト,40,グリーン,1989.06.30,193,115,右,左
ヤクルト,46,谷内　亮太,1991.02.03,177,79,右,右
ヤクルト,49,渡邉　大樹,1997.06.07,182,87,右,右
ヤクルト,56,奥村　展征,1995.05.26,178,76,右,左
ヤクルト,59,今浪　隆博,1984.07.06,172,75,右,左
ヤクルト,60,三輪　正義,1984.01.23,168,70,右,左
ヤクルト,66,大松　尚逸,1982.06.16,184,93,左,左
ヤクルト,0,比屋根　渉,1987.06.20,180,70,右,右
ヤクルト,4,バレンティン,1984.07.02,185,100,右,右
ヤクルト,9,飯原　誉士,1983.04.26,181,88,右,右
ヤクルト,31,山崎　晃大朗,1993.08.11,173,68,左,左
ヤクルト,41,雄平,1984.06.25,174,83,左,左
ヤクルト,42,坂口　智隆,1984.07.07,181,82,右,左
ヤクルト,50,上田　剛史,1988.10.02,180,73,右,左
ヤクルト,64,榎本　葵,1992.07.24,180,80,左,左
ヤクルト,65,原　泉,1992.07.26,190,100,右,右
ヤクルト,91,鵜久森　淳志,1987.02.01,189,85,右,右
中日,11,小笠原　慎之介,1997.10.08,180,83,左,左
中日,12,田島　慎二,1989.12.21,181,84,右,右
中日,13,岩瀬　仁紀,1974.11.10,181,85,左,左
中日,14,佐藤　優,1993.06.29,187,85,右,左
中日,16,又吉　克樹,1990.11.04,180,74,右,右
中日,17,柳　裕也,1994.04.22,180,83,右,右
中日,18,鈴木　翔太,1995.06.16,183,74,右,右
中日,19,吉見　一起,1984.09.19,182,91,右,右
中日,20,野村　亮介,1993.07.09,187,85,右,右
中日,21,岡田　俊哉,1991.12.05,179,65,左,左
中日,22,大野　雄大,1988.09.26,183,78,左,左
中日,24,福谷　浩司,1991.01.09,183,90,右,右
中日,25,武藤　祐太,1989.06.14,178,85,右,右
中日,28,丸山　泰資,1995.02.05,176,79,右,右
中日,29,山井　大介,1978.05.10,179,82,右,右
中日,30,阿知羅　拓馬,1992.11.20,190,95,右,右
中日,33,祖父江　大輔,1987.08.11,175,78,右,左
中日,34,福　敬登,1992.06.16,178,87,左,左
中日,41,浅尾　拓也,1984.10.22,182,75,右,右
中日,43,三ツ間　卓也,1992.07.22,183,92,右,右
中日,44,バルデス,1977.11.27,180,95,左,左
中日,47,笠原　祥太郎,1995.03.17,177,85,左,左
中日,49,アラウホ,1991.07.15,200,125,左,左
中日,50,金子　丈,1993.02.25,189,90,右,右
中日,54,藤嶋　健人,1998.05.08,176,80,右,右
中日,57,小川　龍也,1991.09.03,182,70,左,左
中日,58,八木　智哉,1983.11.07,181,78,左,左
中日,59,岸本　淳希,1996.02.19,181,79,右,右
中日,60,谷元　圭介,1985.01.28,167,72,右,右
中日,61,若松　駿太,1995.02.28,180,75,右,右
中日,64,小熊　凌祐,1990.08.11,180,80,右,右
中日,65,伊藤　準規,1991.01.07,187,80,右,左
中日,91,ロンドン,1988.02.16,186,99,右,右
中日,99,ジョーダン,1986.12.08,183,88,左,左
中日,35,木下　拓哉,1991.12.18,183,92,右,右
中日,38,松井　雅人,1987.11.19,179,78,右,左
中日,39,加藤　匠馬,1992.04.29,175,74,右,右
中日,40,桂　依央利,1991.07.09,185,83,右,右
中日,45,杉山　翔大,1991.02.10,173,88,右,右
中日,52,武山　真吾,1984.06.22,179,88,右,右
中日,68,赤田　龍一郎,1988.01.07,178,80,右,左
中日,0,岩﨑　達郎,1984.12.28,175,75,右,右
中日,2,荒木　雅博,1977.09.13,180,74,右,右
中日,3,高橋　周平,1994.01.18,180,85,右,左
中日,5,阿部　寿樹,1989.12.03,185,80,右,右
中日,7,森野　将彦,1978.07.28,180,85,右,左
中日,9,石川　駿,1990.05.26,178,82,右,右
中日,23,遠藤　一星,1989.03.23,182,78,右,左
中日,32,石垣　雅海,1998.09.21,180,85,右,右
中日,36,石岡　諒太,1992.05.25,187,90,左,左
中日,37,三ツ俣　大樹,1992.05.11,177,80,右,右
中日,42,ゲレーロ,1986.11.20,182,99,右,右
中日,48,溝脇　隼人,1994.05.17,178,70,右,左
中日,51,京田　陽太,1994.04.20,182,80,右,左
中日,53,亀澤　恭平,1988.10.15,174,74,右,左
中日,55,福田　永将,1988.07.23,181,80,右,右
中日,63,堂上　直倫,1988.09.23,184,82,右,右
中日,70,谷　哲也,1985.07.09,180,78,右,右
中日,1,友永　翔太,1991.04.01,170,74,右,左
中日,4,藤井　淳志,1981.05.20,182,81,右,左右
中日,6,平田　良介,1988.03.23,177,88,右,右
中日,8,大島　洋平,1985.11.09,176,74,左,左
中日,26,井領　雅貴,1989.11.04,174,82,右,左
中日,31,野本　圭,1984.07.07,180,81,左,左
中日,46,古本　武尊,1990.12.04,176,87,右,左
中日,56,松井　佑介,1987.07.10,183,83,右,右
中日,62,工藤　隆人,1981.03.30,171,73,左,左
中日,66,ビシエド,1989.03.10,185,108,右,右
中日,67,近藤　弘基,1993.02.12,179,78,右,右
中日,69,赤坂　和幸,1989.09.04,185,83,右,右
日本ハム,1,斎藤　佑樹,1988.06.06,176,76,右,右
日本ハム,11,大谷　翔平,1994.07.05,193,97,右,左
日本ハム,13,石井　裕也,1981.07.04,178,77,左,左
日本ハム,14,加藤　貴之,1992.06.03,182,86,左,左
日本ハム,16,有原　航平,1992.08.11,189,100,右,右
日本ハム,17,浦野　博司,1989.07.22,178,70,右,右
日本ハム,19,増井　浩俊,1984.06.26,181,70,右,右
日本ハム,20,上原　健太,1994.03.29,190,83,左,左
日本ハム,21,武田　久,1978.10.14,170,73,右,左
日本ハム,25,宮西　尚生,1985.06.02,180,75,左,左
日本ハム,28,新垣　勇人,1985.10.21,183,86,右,右
日本ハム,29,井口　和朋,1994.01.07,175,77,右,右
日本ハム,30,鍵谷　陽平,1990.09.23,177,83,右,右
日本ハム,31,村田　透,1985.05.20,183,80,右,左
日本ハム,34,堀　瑞輝,1998.05.10,177,72,左,左
日本ハム,35,榎下　陽大,1988.07.21,178,77,右,右
日本ハム,36,中村　勝,1991.12.11,184,83,右,右
日本ハム,39,高梨　裕稔,1991.06.05,187,85,右,右
日本ハム,40,高良　一輝,1994.06.25,178,78,右,右
日本ハム,43,白村　明弘,1991.12.11,187,84,右,左
日本ハム,46,瀬川　隼郎,1986.10.21,177,84,左,左
日本ハム,47,田中　豊樹,1993.12.01,180,94,右,右
日本ハム,48,高山　優希,1998.05.17,181,78,左,左
日本ハム,49,公文　克彦,1992.03.04,173,78,左,左
日本ハム,51,石川　直也,1996.07.11,191,85,右,右
日本ハム,53,立田　将太,1996.06.04,180,87,右,右
日本ハム,54,玉井　大翔,1992.06.16,178,78,右,右
日本ハム,55,マーティン,1986.06.02,203,98,右,右
日本ハム,57,杉浦　稔大,1992.02.25,189,86,右,右
日本ハム,59,吉田　侑樹,1994.02.16,187,83,右,右
日本ハム,63,上沢　直之,1994.02.06,187,88,右,右
日本ハム,8,近藤　健介,1993.08.09,173,87,右,左
日本ハム,10,清水　優心,1996.05.22,185,88,右,右
日本ハム,27,大野　奨太,1987.01.13,177,78,右,右
日本ハム,42,黒羽根　利規,1987.06.02,178,88,右,右
日本ハム,56,市川　友也,1985.05.09,176,81,右,右
日本ハム,60,郡　拓也,1998.04.25,178,76,右,右
日本ハム,66,大嶋　匠,1990.02.14,180,97,右,左
日本ハム,68,石川　亮,1995.07.20,180,84,右,右
日本ハム,2,杉谷　拳士,1991.02.04,173,77,右,左右
日本ハム,3,田中　賢介,1981.05.20,176,78,右,左
日本ハム,4,飯山　裕志,1979.07.13,178,78,右,右
日本ハム,5,レアード,1987.09.11,185,98,右,右
日本ハム,6,中田　翔,1989.04.22,183,104,右,右
日本ハム,9,中島　卓也,1991.01.11,176,73,右,左
日本ハム,12,松本　剛,1993.08.11,181,78,右,右
日本ハム,23,渡邉　諒,1995.04.30,178,78,右,右
日本ハム,24,森本　龍弥,1994.06.12,185,101,右,右
日本ハム,32,大累　進,1990.08.31,175,73,右,右
日本ハム,38,石井　一成,1994.05.06,180,77,右,左
日本ハム,45,平沼　翔太,1997.08.16,179,78,右,左
日本ハム,58,横尾　俊建,1993.05.27,177,90,右,右
日本ハム,62,髙濱　祐仁,1996.08.08,183,84,右,右
日本ハム,65,太田　賢吾,1997.01.19,186,81,右,左
日本ハム,70,今井　順之助,1998.05.25,177,88,右,左
日本ハム,7,西川　遥輝,1992.04.16,179,76,右,左
日本ハム,18,岡　大海,1991.07.15,185,77,右,右
日本ハム,26,淺間　大基,1996.06.21,183,79,右,左
日本ハム,33,大田　泰示,1990.06.09,188,95,右,右
日本ハム,37,矢野　謙次,1980.09.21,178,85,右,右
日本ハム,44,森山　恵佑,1994.05.02,188,92,左,左
日本ハム,50,宇佐美　塁大,1994.10.24,177,80,右,右
日本ハム,52,ドレイク,1990.04.12,183,90,右,右
日本ハム,61,姫野　優也,1997.04.02,184,81,右,左右
日本ハム,64,谷口　雄也,1992.06.01,182,87,右,左
日本ハム,67,岸里　亮佑,1995.04.03,180,71,右,左
ソフトバンク,11,中田　賢一,1982.05.11,180,83,右,右
ソフトバンク,13,二保　旭,1990.05.18,182,78,右,右
